Event,Description,Date,Link,Source,Week Number
"Bill Siverly, Barbara Drake, and Michael McDowell at Broadway Books",,06/29/2023,https://www.broadwaybooks.net/event/bill-siverly-barbara-drake-and-michael-mcdowell,Broadway Books,26
Poetry and Jazz: Notes and Motes at Rose City Book Pub,7:30PM - 9:30PM,06/29/2023,https://www.rosecitybookpub.com/events-1/2023/6/29/poetry-and-jazz-notes-and-motes,Rose City Book Pub,26
David Gessner in Conversation With Derek Sheffield at Powell’s City of Books,7pm,06/29/2023,https://www.powells.com/book/a-travelers-guide-to-the-end-of-the-world-9781948814812/1-1,Powells,26
The Write Place Productivity and Goal Setting with Willamette Writers (virtual),12:00pm - 1:00pm,06/29/2023,https://willamettewriters.org/event/online-the-write-place-productivity-and-goal-setting/2023-06-29/,Willamette Writers,26
Willamette Writers Portland Office Hours,12:00pm - 2:00pm,06/29/2023,https://willamettewriters.org/event/portland-office-hours-4/2023-06-29/,Willamette Writers,26
Annual Membership Meeting with Willamette Writers (virtual),6:30pm - 7:30pm,06/29/2023,https://willamettewriters.org/event/online-annual-membership-meeting/,Willamette Writers,26
The Write Place Productivity and Goal Setting with Willamette Writers (virtual),12:00pm - 1:00pm,06/29/2023,https://willamettewriters.org/event/online-the-write-place-productivity-and-goal-setting/2023-06-29/,Willamette Writers,26
Willamette Writers Portland Office Hours,12:00pm - 2:00pm,06/29/2023,https://willamettewriters.org/event/portland-office-hours-4/2023-06-29/,Willamette Writers,26
Annual Membership Meeting with Willamette Writers (virtual),6:30pm - 7:30pm,06/29/2023,https://willamettewriters.org/event/online-annual-membership-meeting/,Willamette Writers,26
The Write Place Productivity and Goal Setting with Willamette Writers (virtual),12:00pm - 1:00pm,06/29/2023,https://willamettewriters.org/event/online-the-write-place-productivity-and-goal-setting/2023-06-29/,Willamette Writers,26
Willamette Writers Portland Office Hours,12:00pm - 2:00pm,06/29/2023,https://willamettewriters.org/event/portland-office-hours-4/2023-06-29/,Willamette Writers,26
Annual Membership Meeting with Willamette Writers (virtual),6:30pm - 7:30pm,06/29/2023,https://willamettewriters.org/event/online-annual-membership-meeting/,Willamette Writers,26
The Write Place Productivity and Goal Setting with Willamette Writers (virtual),12:00pm - 1:00pm,06/29/2023,https://willamettewriters.org/event/online-the-write-place-productivity-and-goal-setting/2023-06-29/,Willamette Writers,26
Willamette Writers Portland Office Hours,12:00pm - 2:00pm,06/29/2023,https://willamettewriters.org/event/portland-office-hours-4/2023-06-29/,Willamette Writers,26
Annual Membership Meeting with Willamette Writers (virtual),6:30pm - 7:30pm,06/29/2023,https://willamettewriters.org/event/online-annual-membership-meeting/,Willamette Writers,26
